Word,Frequency,Polarity
bullying,2,Negative
doubt,2,Negative
vehemently,1,Negative
oppose,1,Negative
bs,890,Negative
overwhelming,1,Negative
struggled,18,Negative
struggle,54,Negative
worry,57,Negative
disadvantaged,61,Negative
stuck,51,Negative
mock,1,Negative
loss,15,Negative
delay,1,Negative
syndrome,1,Negative
tricky,1,Negative
limited,6,Negative
debt,11,Negative
decay,1,Negative
disinterested,1,Negative
issue,5,Negative
hung,3,Negative
stigma,2,Negative
idiots,1,Negative
inequities,135,Negative
fuck,5,Negative
layoff,146,Negative
struggling,22,Negative
collapse,92,Negative
waste,2,Negative
sadly,2,Negative
dumb,2,Negative
conservative,4,Negative
vulnerable,2,Negative
sorry,3,Negative
discrimination,6,Negative
hard,7,Negative
illegal,1,Negative
crook,1,Negative
shortsighted,58,Negative
restricted,3,Negative
fat,1,Negative
cheap,7,Negative
substandard,1,Negative
discourage,1,Negative
losses,3,Negative
difficult,5,Negative
miss,5,Negative
strange,2,Negative
lost,10,Negative
sue,2,Negative
distaste,2,Negative
poor,8,Negative
radical,2,Negative
unbelievable,7,Negative
turbulent,2,Negative
unfamiliar,1,Negative
vice,14,Negative
protested,3,Negative
fraudulent,3,Negative
attack,20,Negative
fall,48,Negative
death,9,Negative
mindless,7,Negative
broken,3,Negative
cancer,1,Negative
outbreak,2,Negative
upset,1,Negative
irresponsible,1,Negative
drag,1,Negative
stifling,2,Negative
problem,6,Negative
fail,1,Negative
opinionated,1,Negative
steep,1,Negative
isolation,11,Negative
poison,1,Negative
sick,3,Negative
crash,3,Negative
burn,3,Negative
concern,2,Negative
frightening,2,Negative
stricken,12,Negative
crisis,3,Negative
funny,1,Negative
losing,7,Negative
impossible,1,Negative
catastrophe,1,Negative
disaster,6,Negative
concerned,2,Negative
missed,4,Negative
lose,1,Negative
heartless,2,Negative
falling,4,Negative
calamity,1,Negative
complex,1,Negative
breakdown,2,Negative
dismally,3,Negative
failed,6,Negative
criminal,3,Negative
harsh,3,Negative
massacre,3,Negative
clueless,1,Negative
screwed,1,Negative
confusion,1,Negative
trash,1,Negative
unlikely,1,Negative
kill,2,Negative
boredom,2,Negative
trivial,2,Negative
burden,3,Negative
distract,2,Negative
limitations,1,Negative
wrong,3,Negative
harm,1,Negative
failure,1,Negative
insult,1,Negative
absurd,1,Negative
blame,3,Negative
illiterate,3,Negative
hating,3,Negative
rejected,1,Negative
gullible,1,Negative
hate,4,Negative
break,2,Negative
childish,2,Negative
inequalities,1,Negative
challenging,5,Negative
fear,2,Negative
suicide,1,Negative
confused,2,Negative
pathetic,1,Negative
unemployed,1,Negative
loser,1,Negative
shame,5,Negative
regrettably,1,Negative
shit,2,Negative
illness,2,Negative
sad,1,Negative
ignorance,4,Negative
bother,1,Negative
useless,1,Negative
needless,4,Negative
disadvantages,1,Negative
lure,1,Negative
yawn,1,Negative
idiot,3,Negative
worthless,2,Negative
wasting,1,Negative
worst,3,Negative
cunt,1,Negative
refuse,2,Negative
repulsive,1,Negative
chaotic,1,Negative
slut,6,Negative
whore,6,Negative
warned,7,Negative
slap,2,Negative
strain,1,Negative
stress,1,Negative
conspiracy,1,Negative
worried,1,Negative
false,1,Negative
excuse,1,Negative
lazy,3,Negative
stupid,2,Negative
wary,2,Negative
failing,2,Negative
sink,1,Negative
corrupted,2,Negative
inhumane,1,Negative
cruel,1,Negative
problems,1,Negative
suspicious,1,Negative
slack,1,Negative
issues,5,Negative
ruin,7,Negative
fascism,3,Negative
cloud,1,Negative
expensive,2,Negative
insane,2,Negative
scare,14,Negative
paranoia,12,Negative
corrupt,12,Negative
greed,1,Negative
exploitation,1,Negative
sloppy,2,Negative
scary,2,Negative
forbidden,1,Negative
shock,1,Negative
concerns,4,Negative
critical,3,Negative
unfortunate,2,Negative
crime,1,Negative
resigned,3,Negative
viper,1,Negative
wasted,1,Negative
futility,1,Negative
poverty,3,Negative
contamination,1,Negative
hedge,1,Negative
inconsistencies,2,Negative
bias,2,Negative
undermines,2,Negative
hopelessly,2,Negative
undermined,2,Negative
suppression,1,Negative
lack,1,Negative
raping,1,Negative
ridiculous,8,Negative
dislike,1,Negative
stole,1,Negative
bitch,1,Negative
seriousness,1,Negative
obscured,1,Negative
incompetence,1,Negative
racist,1,Negative
rhetoric,1,Negative
bigotry,1,Negative
spoils,2,Negative
savages,1,Negative
weaken,4,Negative
oversight,1,Negative
sorely,1,Negative
interrupt,1,Negative
risk,1,Negative
hell,3,Negative
mad,2,Negative
burning,2,Negative
deaf,1,Negative
impaired,1,Negative
unfortunately,1,Negative
strident,1,Negative
emergency,1,Negative
bad,1,Negative
abolish,1,Negative
trouble,13,Negative
dying,1,Negative
jam,1,Negative
bent,1,Negative
worn,1,Negative
threats,1,Negative
drain,1,Negative
unsure,2,Negative
distorted,1,Negative
strict,1,Negative
doomed,1,Negative
dismal,1,Negative
complaining,1,Negative
irrelevance,1,Negative
dwindling,1,Negative
virus,1,Negative
ironic,2,Negative
mocking,3,Negative
unaffordable,1,Negative
wow,2,Positive
reasonable,1,Positive
subsidized,2,Positive
top,767,Positive
free,82,Positive
support,35,Positive
welcome,93,Positive
masters,7,Positive
master,3,Positive
beloved,1,Positive
led,20,Positive
complement,20,Positive
clearly,21,Positive
confidence,1,Positive
well,16,Positive
worth,3,Positive
sustainability,5,Positive
generous,1,Positive
amity,7,Positive
thank,116,Positive
supporting,56,Positive
excited,107,Positive
trust,40,Positive
like,52,Positive
skill,2,Positive
work,23,Positive
important,31,Positive
good,88,Positive
succeeded,2,Positive
worthy,2,Positive
valuable,8,Positive
creative,6,Positive
relief,39,Positive
safe,95,Positive
freedom,3,Positive
advocates,1,Positive
great,23,Positive
leading,19,Positive
worked,21,Positive
right,22,Positive
trump,11,Positive
happiness,1,Positive
enough,8,Positive
happy,16,Positive
educated,8,Positive
excel,15,Positive
protect,11,Positive
amazing,8,Positive
loving,1,Positive
fine,6,Positive
delighted,2,Positive
helping,13,Positive
supports,60,Positive
succeed,58,Positive
best,16,Positive
gain,7,Positive
ethical,1,Positive
wholesome,1,Positive
rich,9,Positive
humane,2,Positive
amazingly,2,Positive
honored,37,Positive
salute,2,Positive
honor,2,Positive
sweetheart,2,Positive
smart,6,Positive
fresh,1,Positive
cute,3,Positive
openly,1,Positive
advocate,3,Positive
excellent,6,Positive
supported,13,Positive
innovation,2,Positive
intelligence,2,Positive
vibrant,3,Positive
wonder,5,Positive
solidarity,3,Positive
proud,16,Positive
super,16,Positive
commitment,25,Positive
success,7,Positive
prestigious,2,Positive
divine,2,Positive
helped,16,Positive
privilege,3,Positive
recommend,3,Positive
appropriate,2,Positive
revere,2,Positive
love,12,Positive
guidance,39,Positive
encouraging,1,Positive
positive,2,Positive
liberty,36,Positive
popular,1,Positive
affordable,5,Positive
progress,7,Positive
benefits,1,Positive
merit,3,Positive
win,6,Positive
cure,3,Positive
fantastic,3,Positive
protection,14,Positive
generosity,1,Positive
available,10,Positive
ready,3,Positive
lucky,3,Positive
better,14,Positive
interesting,5,Positive
gladly,2,Positive
auspicious,2,Positive
celebration,2,Positive
willing,2,Positive
boost,15,Positive
leads,1,Positive
afford,6,Positive
magical,1,Positive
sweeping,3,Positive
savings,2,Positive
fabulous,1,Positive
wellbeing,3,Positive
fun,2,Positive
woo,2,Positive
attractive,1,Positive
awe,1,Positive
loves,1,Positive
nice,2,Positive
correct,1,Positive
clear,3,Positive
secure,6,Positive
wonderful,4,Positive
dedicated,4,Positive
productive,1,Positive
gold,2,Positive
brilliant,3,Positive
tremendously,2,Positive
grand,31,Positive
privileged,1,Positive
accomplish,3,Positive
satisfy,1,Positive
outperform,1,Positive
excellence,1,Positive
solid,9,Positive
efficient,1,Positive
unlimited,2,Positive
beautiful,2,Positive
successful,8,Positive
clean,2,Positive
gracious,1,Positive
perfect,1,Positive
accessible,5,Positive
patriotic,1,Positive
respect,1,Positive
enhance,1,Positive
holy,1,Positive
works,3,Positive
decent,1,Positive
pretty,1,Positive
congratulations,9,Positive
strong,2,Positive
spectacular,2,Positive
peace,2,Positive
sustainable,2,Positive
appreciated,1,Positive
luck,12,Positive
golden,2,Positive
elite,19,Positive
obsession,4,Positive
improve,2,Positive
fortunate,1,Positive
recover,1,Positive
hot,1,Positive
decency,1,Positive
variety,5,Positive
successfully,1,Positive
easy,2,Positive
comfort,1,Positive
advanced,4,Positive
smarter,1,Positive
intelligent,1,Positive
reform,1,Positive
fair,1,Positive
honest,1,Positive
benefit,1,Positive
bright,2,Positive
accomplishments,1,Positive
gained,1,Positive
easier,2,Positive
lead,1,Positive
angel,1,Positive
reasonably,1,Positive
qualify,1,Positive
wealthy,1,Positive
knowledgeable,1,Positive
benevolent,1,Positive
assurance,3,Positive
survival,1,Positive
calm,2,Positive
enjoyable,1,Positive
stable,1,Positive
applaud,1,Positive
honorable,1,Positive
effective,3,Positive
spirited,1,Positive
awarded,3,Positive
healthy,1,Positive
stability,1,Positive
dynamic,1,Positive
finest,1,Positive
understandable,2,Positive
approval,2,Positive
encourage,1,Positive
humor,3,Positive
humour,3,Positive
hilarious,3,Positive
fans,1,Positive
pampered,1,Positive
safely,1,Positive
revolutionary,1,Positive
likes,1,Positive
brave,1,Positive
exciting,1,Positive
proper,3,Positive
talent,1,Positive
thankful,1,Positive
endorse,1,Positive
innovative,2,Positive
gaining,1,Positive
awesome,2,Positive
proven,1,Positive
significant,5,Positive
providence,1,Positive
achievement,2,Positive
kudos,2,Positive
patience,2,Positive
capable,2,Positive
ideal,1,Positive
talented,1,Positive
helpful,2,Positive
miracle,1,Positive
winner,1,Positive
award,1,Positive
congratulation,1,Positive
perfectly,1,Positive
qualified,1,Positive
compatible,13,Positive
improved,1,Positive
progressive,2,Positive
reconciliation,1,Positive
sufficient,1,Positive
reliable,1,Positive
bless,1,Positive
incredibly,1,Positive
guarantee,3,Positive
luxury,1,Positive
contribution,1,Positive
happier,1,Positive
subsidizes,1,Positive
recommendation,1,Positive
paradise,2,Positive
reforms,1,Positive
enticed,1,Positive
grace,1,Positive
easing,1,Positive
thrilled,2,Positive
preferable,1,Positive
supportive,1,Positive
improvement,2,Positive
